sample_index_202,sample_uid,timestamp,sample_time,latitude,longitude,depth_m,station,sample,source_file,match_status,hplc_repository_url
67,paceera_agg|137,20241121T20:45:00,2024-11-21T20:45:00,34.3305,-119.777,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
68,paceera_agg|112,20250109T08:30:00,2025-01-09T08:30:00,2.193,69.532,6.0,FT1,HPLC3,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
69,paceera_agg|113,20250109T08:30:00,2025-01-09T08:30:00,2.193,69.532,6.0,FT1,HPLC4,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
70,paceera_agg|65,20250109T08:30:00,2025-01-09T08:30:00,2.193,69.532,6.48,1,HPLC1,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
71,paceera_agg|66,20250109T08:30:00,2025-01-09T08:30:00,2.193,69.532,6.48,1,HPLC2,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
72,paceera_agg|67,20250109T11:20:00,2025-01-09T11:20:00,2.193,69.532,65.0,1,HPLC5,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
73,paceera_agg|68,20250109T11:20:00,2025-01-09T11:20:00,2.193,69.532,65.0,1,HPLC6,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
74,paceera_agg|114,20250110T05:35:00,2025-01-10T05:35:00,0.545,67.04,6.0,FT2,HPLC7,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
75,paceera_agg|115,20250110T05:35:00,2025-01-10T05:35:00,0.545,67.04,6.0,FT2,HPLC8,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
76,paceera_agg|69,20250110T07:35:21,2025-01-10T07:35:21,0.547,67.035,60.5,2,HPLC13,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
77,paceera_agg|70,20250110T07:35:21,2025-01-10T07:35:21,0.547,67.035,60.5,2,HPLC14,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
78,paceera_agg|71,20250110T07:42:41,2025-01-10T07:42:41,0.547,67.035,7.14,2,HPLC10,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
79,paceera_agg|72,20250110T07:42:41,2025-01-10T07:42:41,0.547,67.035,56.0,2,HPLC11,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
80,paceera_agg|73,20250110T07:42:41,2025-01-10T07:42:41,0.547,67.035,56.0,2,HPLC12,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
81,paceera_agg|74,20250110T07:42:41,2025-01-10T07:42:41,0.547,67.035,7.14,2,HPLC9,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
82,paceera_agg|116,20250111T05:32:22,2025-01-11T05:32:22,-1.536,63.871,6.0,FT3,HPLC15,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
83,paceera_agg|117,20250111T05:32:22,2025-01-11T05:32:22,-1.536,63.871,6.0,FT3,HPLC16,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
84,paceera_agg|75,20250111T05:34:00,2025-01-11T05:34:00,-1.6588,63.685,34.0,3,HPLC21,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
85,paceera_agg|76,20250111T05:34:00,2025-01-11T05:34:00,-1.6588,63.685,34.0,3,HPLC22,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
86,paceera_agg|77,20250111T05:34:00,2025-01-11T05:34:00,-1.6588,63.685,45.0,3,HPLC23,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
87,paceera_agg|78,20250111T05:34:00,2025-01-11T05:34:00,-1.6588,63.685,45.0,3,HPLC24,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
88,paceera_agg|79,20250111T07:34:00,2025-01-11T07:34:00,-1.6588,63.685,6.0,3,HPLC19,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
89,paceera_agg|80,20250111T07:34:00,2025-01-11T07:34:00,-1.6588,63.685,6.0,3,HPLC20,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
90,paceera_agg|118,20250111T07:50:00,2025-01-11T07:50:00,-1.652,63.709,6.0,FT4,HPLC17,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
91,paceera_agg|119,20250111T07:50:00,2025-01-11T07:50:00,-1.652,63.709,6.0,FT4,HPLC18,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
92,paceera_agg|120,20250111T10:44:00,2025-01-11T10:44:00,-1.888,63.337,6.0,FT5,HPLC25,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
93,paceera_agg|121,20250111T10:44:00,2025-01-11T10:44:00,-1.888,63.337,6.0,FT5,HPLC26,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
94,paceera_agg|122,20250112T05:42:30,2025-01-12T05:42:30,-3.794,60.439,6.0,FT6,HPLC27,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
95,paceera_agg|123,20250112T05:42:30,2025-01-12T05:42:30,-3.794,60.439,6.0,FT6,HPLC28,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
96,paceera_agg|81,20250112T07:25:04,2025-01-12T07:25:04,-3.911,60.263,36.0,4,HPLC33,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
97,paceera_agg|82,20250112T07:25:04,2025-01-12T07:25:04,-3.911,60.263,36.0,4,HPLC34,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
98,paceera_agg|83,20250112T07:29:43,2025-01-12T07:29:43,-3.911,60.263,6.0,4,HPLC29,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
99,paceera_agg|84,20250112T07:29:43,2025-01-12T07:29:43,-3.911,60.263,6.0,4,HPLC30,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
100,paceera_agg|85,20250112T07:29:43,2025-01-12T07:29:43,-3.911,60.263,30.0,4,HPLC31,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
101,paceera_agg|86,20250112T07:29:43,2025-01-12T07:29:43,-3.911,60.263,30.0,4,HPLC32,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
102,paceera_agg|124,20250112T10:36:00,2025-01-12T10:36:00,-4.144,59.905,6.0,FT7,HPLC35,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
103,paceera_agg|125,20250112T10:36:00,2025-01-12T10:36:00,-4.144,59.905,6.0,FT7,HPLC36,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
104,paceera_agg|126,20250113T06:20:00,2025-01-13T06:20:00,-6.183,56.799,6.0,FT8,HPLC37,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
105,paceera_agg|127,20250113T06:20:00,2025-01-13T06:20:00,-6.183,56.799,6.0,FT8,HPLC38,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
106,paceera_agg|87,20250113T07:56:09,2025-01-13T07:56:09,-6.187,56.799,54.06,5,HPLC43,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
107,paceera_agg|88,20250113T07:56:09,2025-01-13T07:56:09,-6.187,56.799,55.06,5,HPLC44,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
108,paceera_agg|89,20250113T08:04:19,2025-01-13T08:04:19,-6.187,56.799,6.0,5,HPLC39,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
109,paceera_agg|90,20250113T08:04:19,2025-01-13T08:04:19,-6.187,56.799,6.0,5,HPLC40,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
110,paceera_agg|91,20250113T08:04:19,2025-01-13T08:04:19,-6.187,56.799,30.0,5,HPLC41,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
111,paceera_agg|92,20250113T08:04:19,2025-01-13T08:04:19,-6.187,56.799,30.0,5,HPLC42,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
112,paceera_agg|128,20250113T11:34:00,2025-01-13T11:34:00,-6.398,56.483,6.0,FT9,HPLC45,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
113,paceera_agg|129,20250113T11:34:00,2025-01-13T11:34:00,-6.398,56.483,6.0,FT9,HPLC46,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
114,paceera_agg|104,20250114T06:21:00,2025-01-14T06:21:00,-7.64,53.655,6.0,FT10,HPLC47,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
115,paceera_agg|105,20250114T06:21:00,2025-01-14T06:21:00,-7.64,53.655,6.0,FT10,HPLC48,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
116,paceera_agg|93,20250114T07:38:55,2025-01-14T07:38:55,-7.64,53.655,52.0,6,HPLC53,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
117,paceera_agg|94,20250114T07:38:55,2025-01-14T07:38:55,-7.64,53.655,52.0,6,HPLC54,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
118,paceera_agg|95,20250114T07:47:09,2025-01-14T07:47:09,-7.64,53.655,7.79,6,HPLC50,8193875b42_OceanX_OXR20250108_HPLC_14-18_report.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
